출발지,도착지,소요시간(분)
오사카 성,텐로쿠 상점가 진흥조합 사무소,33
오사카 성,일본민가취락박물관,66
오사카 성,난바 시티 본관,36
오사카 성,나가이 공원,41
오사카 성,아메리카무라,35
오사카 성,키즈프라자 오사카,28
오사카 성,난바 파크스,37
오사카 성,다이마루 백화점 신사이바시점,31
오사카 성,나카노시마 장미 정원,24
오사카 성,호젠지,36
오사카 성,오사카 부 사키시마청사 전망대,48
오사카 성,센니치마에 도구야스지 상점가,38
오사카 성,오사카 컵라면박물관,60
오사카 성,니시노마루 정원,0
오사카 성,한큐백화점,28
오사카 성,돈키호테 도톤보리점,38
오사카 성,교세라 돔 오사카,39
오사카 성,타카무라 와인 & 커피 로스터스,37
오사카 성,ABENO HARUKAS Art Museum,34
오사카 성,레고랜드 디스커버리센터 오사카,41
오사카 성,한큐 3번가,31
오사카 성,오사카 수상버스 아쿠아라이너,0
오사카 성,Takimikoji,40
오사카 성,천연온천 나니와노유,38
오사카 성,요시모토 난바그랜드카게쓰 극장,34
오사카 성,난바 워크,31
오사카 성,반파쿠기넨코엔 (엑스포’70 기념공원),70
오사카 성,나가이 얀마스타디움,43
오사카 성,간사이 공항,67
오사카 성,린쿠프리미엄아웃렛,81
오사카 성,Hep Five,31
오사카 성,기시와다성,73
오사카 성,국립국제미술관,33
오사카 성,다카시마야 오사카점,34
오사카 성,우쓰보 공원,30
오사카 성,국립문락극장,30
오사카 성,우메다 공중정원,40
오사카 성,오사카 성 공원,0
오사카 성,오사카 성 천수각,0
오사카 성,덴시바,28
오사카 성,오사카시립 나가이 식물원,48
오사카 성,소라니와 온천 오사카베이타워,36
오사카 성,오사카 과학기술관,29
오사카 성,태양의 탑,71
오사카 성,오사카시 중앙공회당,25
오사카 성,Diamor 오사카(지하),30
오사카 성,오사카 국제공항,56
오사카 성,메이드리밍 오사카 난바점,38
아키바 카트 오사카,도톤보리,0
아키바 카트 오사카,오사카 성,36
아키바 카트 오사카,오사카 역사 박물관,22
아키바 카트 오사카,우메다 스카이빌딩,34
아키바 카트 오사카,에비스 다리,0
아키바 카트 오사카,하루카스 300,18
아키바 카트 오사카,유니버셜 스튜디오 재팬,31
