출발지,도착지,소요시간(분)
메이지 신궁 외원,Street Kart Tokyo Bay,51.0
메이지 신궁 외원,쓰키시마 몬자거리,28.0
메이지 신궁 외원,사쿠라 포토 스튜디오,36.0
메이지 신궁 외원,하네다국제공항,40.0
메이지 신궁 외원,도쿄 소라마치,39.0
메이지 신궁 외원,미쓰비시1호관미술관,27.0
메이지 신궁 외원,도쿄도 미술관,31.0
메이지 신궁 외원,다이마루 백화점 도쿄점,27.0
메이지 신궁 외원,미타카의 숲 지브리 미술관,44.0
메이지 신궁 외원,도쿄 국립 근대 미술관,22.0
메이지 신궁 외원,빅카메라 유라쿠초점,27.0
메이지 신궁 외원,네즈신사,33.0
메이지 신궁 외원,센가쿠 절,27.0
메이지 신궁 외원,쓰키지 수산시장,24.0
메이지 신궁 외원,스파 라쿠아,21.0
메이지 신궁 외원,도쿄 미드타운,14.0
메이지 신궁 외원,국립 서양 미술관,25.0
메이지 신궁 외원,도호 시네마즈 신주쿠,18.0
메이지 신궁 외원,신주쿠 골든 거리,21.0
메이지 신궁 외원,하마리큐 은사정원,28.0
메이지 신궁 외원,Shibuya Center-Street,14.0
메이지 신궁 외원,시나가와 수족관,53.0
메이지 신궁 외원,맥셀 아쿠아 파크 시나가와,33.0
메이지 신궁 외원,오다이바 자유의 여신상,42.0
메이지 신궁 외원,도쿄만 아쿠아라인 우미호타루,93.0
메이지 신궁 외원,구 이와사키 저택 정원,29.0
도쿄 스카이트리,도쿄 타워,33.0
도쿄 스카이트리,메이지 신궁,47.0
도쿄 스카이트리,메이지 신궁 외원,34.0
도쿄 스카이트리,도쿄 디즈니랜드,42.0
도쿄 스카이트리,센소지사,6.0
도쿄 스카이트리,고쿄 히가시 교엔,19.0
도쿄 스카이트리,도쿄 디즈니씨,41.0
도쿄 스카이트리,도쿄도청 전망대,41.0
도쿄 스카이트리,에도도쿄건축정원,68.0
도쿄 스카이트리,센소지 가미나리몬,6.0
도쿄 스카이트리,도쿄 국립신미술관,33.0
도쿄 스카이트리,시부야 스카이,31.0
도쿄 스카이트리,야나카긴자,24.0
